localist
1270
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
6,1,6
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
2,2,3
3,2,3
4,2,3
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
2,2,3
3,2,3
4,2,3
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
2,2,3
3,2,3
4,2,3
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
1,1,1
2,1,1
3,1,1
3,1,2
4,1,2
5,1,2
3,1,2
4,1,2
5,1,2
2,2,3
3,2,3
4,2,3
2,2,3
3,2,3
4,2,3
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
2,2,3
3,2,3
4,2,3
6,2,6
2,2,3
3,2,3
4,2,3
2,2,3
3,2,3
4,2,3
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
5,2,2
3,2,2
4,2,2
